	expression	promoter.meth	gene.meth
Actrt2	-4.16719	2.4774776	2.640306
Acvr1	2.7792287	0.33783785	53.28967
Acvr1b	4.5161943	1.7386092	80.92957
Acvr1c	-4.0151873	1.5503877	9.4857855
Acvr2a	3.6214375	0.92592597	72.29683
Acvr2b	4.3899546	0.8333333	54.8138
Acvrl1	-0.43022457	1.1695907	2.1014495
Acy1	2.9734979	29.731672	53.163918
Acy3	-1.693259	8.266666	5.4674797
Acyp1	2.2136316	0	34.45402
Acyp2	-4.16719	97.560974	89.64793
Ada	-1.015187	0	80.01557
Adad1	5.7093267	1.2658228	5.744658
Adad2	8.223516	2.4774776	68.11288
Adal	5.0400953	18.704662	66.72827
Adam10	6.213632	2.211838	76.35296
Adam11	0.23274046	5.111111	4.338387
Adam12	5.91555	51.862743	88.6119
Adam15	3.270215	0.53846157	63.486435
Adam17	5.809772	0.3472222	74.20443
Adam18	-4.16719	1.3297873	6.181293
Adam19	1.0292072	3.3333333	2.8477793
Adam1a	1.2702152	95.098045	98.26087
Adam1b	-1.2078321	98.08943	94.04762
Adam2	-4.16719	0.87719303	21.691227
Adam21	-4.16719	100	82.53788
Adam22	5.671314	96.66666	84.49028
Adam23	5.258609	1.1009175	53.73647
Adam24	-4.16719	10	2.2988508
Adam25	-4.16719	0	5.925926
Adam26a	-4.16719	38.88889	3.9181287
Adam26b	-4.16719	29.166668	8.768116
Adam28	-4.16719	0	64.63423
Adam29	-4.16719	33.333336	33.678574
Adam3	1.3771304	1.4285715	4.804042
Adam30	-4.0151873	0.877193	1.6009852
Adam32	-3.015187	99.76415	72.55473
Adam33	-1.4302245	0.31446543	2.8112738
Adam34	-4.16719	18.48485	20.16127
Adam39	-4.16719	0	1.0416667
Adam4	-4.16719	96.42857	100
Adam5	-0.69325894	14.583335	56.30147
Adam6a	-4.16719	3.5087721	2.6587303
Adam6b	-4.16719	100	96.42857
Adam7	-4.16719	29.545454	72.87655
Adam8	1.1140959	75.675674	81.718544
Adam9	4.9505973	14.752628	93.03905
Adamdec1	-3.015187	7.763975	8.195085
Adamts1	2.324663	0.8843538	1.5093538
Adamts10	1.842794	1.0752689	27.300804
Adamts12	-1.2078321	3.8690476	82.80761
Adamts13	-2.015187	1.7241379	10.099796
Adamts14	-4.0151873	2.060932	3.5144985
Adamts15	1.0722758	1.5584415	3.1598017
Adamts16	2.842794	1.9927537	4.2152944
Adamts17	3.1446846	0.7936508	87.24177
Adamts18	3.3598523	97.94118	96.07812
Adamts19	2.342365	0.20491803	38.86871
Adamts2	0.7921679	2.2727273	3.7669346
Adamts20	-0.31474733	1.8518519	2.5347884
Adamts3	3.2136316	1.0025064	84.38016
Adamts4	0.93900925	34.444447	47.4544
Adamts5	-4.0151873	1.7198582	3.088803
Adamts6	2.2515996	16.725147	66.30597
Adamts7	1.154738	1.3333334	23.038982
Adamts8	2.394204	0.5882353	3.440714
Adamts9	2.2327404	0.752551	11.4561
Adamtsl1	4.1192393	0	47.95299
Adamtsl2	-4.16719	1.7730497	5.8616843
Adamtsl3	0.07227574	0.43010756	5.711338
Adamtsl4	-0.20783208	77.0892	76.19954
Adamtsl5	-4.0151873	0.6944445	1.1713885
Adap1	-4.16719	1.1396012	4.600062
Adap2	-1.2078321	1.4705883	5.1949615
Adar	6.3257756	0.33333337	79.27544
Adarb1	5.970655	5.493421	85.79147
Adarb2	2.6990585	0	43.36556
Adat1	5.2492557	33.809525	70.344955
Adat2	3.0071807	23.181818	34.074528
Adat3	2.817703	1.1737089	51.726406
Adc	3.0933373	0.42372882	3.489716
Adck1	6.0629635	0	91.0364
Adck2	5.793777	0.48309183	52.18725
Adck3	8.817109	0	65.8825
Adck4	5.4068775	4.7619047	69.96128
Adck5	3.8365622	24.833334	80.90601
Adcy1	3.0722756	0.5785124	79.548355
Adcy10	5.0722756	9.963768	22.650408
Adcy2	0.984813	0.14749263	6.6049476
Adcy3	4.0071807	3.4153006	24.742393
Adcy4	-4.16719	0.44642857	2.0764205
Adcy5	3.1446846	0.32894737	80.98166
Adcy6	5.2794337	96.0145	97.31509
Adcy7	1.5394018	2.8169014	12.650834
Adcy8	3.539402	21.434109	39.623795
Adcy9	5.4985404	2.8011205	84.8581
Adcyap1	-4.16719	2.118644	4.8863635
Adcyap1r1	-4.0151873	60.523808	83.531204
Add1	7.284021	3.2592595	81.88877
Add2	6.168448	100	97.68111
Add3	5.476666	0	76.100876
Adh1	-0.20783208	0	2.152778
Adh4	0.3067411	66.42157	26.329786
Adh5	6.5374823	34.794373	79.969894
Adh6a	-4.16719	5	2.5874126
Adh6b	-4.0151873	1.0416666	2.5
Adh6-ps1	-4.16719	4.761905	2.8917263
Adh7	-4.16719	0.8169935	18.903913
Adhfe1	-4.16719	5.482456	78.13016
Adi1	3.8977022	2.6406927	48.263157
Adig	-4.16719	84.5946	47.277775
Adipoq	-4.16719	2.2675738	5.187909
Adipor1	6.9585104	2.3102312	61.585968
Adipor2	7.178954	0.79365087	40.463802
Adk	5.419441	1.3580247	82.451584
Adm	-1.2078321	86.43092	80.836105
Adm2	-4.16719	6.160714	38.476192
Adnp	7.8574877	18.381487	63.412167
Adnp2	7.0795503	1.0752689	70.037
Ado	6.13456	0.17543861	7.1025777
Adora1	2.72628	0.877193	10.308172
Adora2a	-3.015187	4.109589	2.7922258
Adora2b	2.114096	1.2273903	68.68562
Adora3	-1.693259	2.9569895	5.326717
Adpgk	6.066962	0	69.06038
Adprh	6.57727	0.85669786	76.52948
Adprhl1	-4.16719	48.989902	12.460809
Adprhl2	3.7127333	3.7881777	52.31151
Adra1a	-1.4302245	1.1904762	4.2002826
Adra1b	-2.4302247	0	4.052666
Adra1d	-4.16719	1.5384616	1.6232964
Adra2a	-0.84526205	2.0771759	0.29185867
Adra2b	-4.16719	10.223214	2.0190477
Adra2c	-2.4302247	2.2779922	0.672548
Adrb1	-4.16719	2.170139	0.42542544
Adrb2	-3.015187	0.70921993	2.1929827
Adrb3	-4.0151873	49.780704	12.831998
Adrbk1	5.333541	2.93765	76.26859
Adrbk2	2.6141696	2.0833333	4.0058675
Adrm1	4.6250577	13.7427845	38.882114
Adsl	6.169688	0.32242063	81.37147
Adss	7.609608	1.9360269	54.26414
Adssl1	-0.69325894	1.4851485	76.90555
Aebp1	2.2885938	1.2345679	60.63984
Aebp2	6.159739	12.826087	56.17304
Aen	7.679171	3.2051284	38.996048
Aes	5.0589542	2.3137484	41.16704
AF064781	0.15473793	3.3541198	13.86228
AF085738	7.667807	65	68.10772
AF251705	-4.0151873	2.9411764	3.968254
AF366264	-4.16719	98.3871	87.17055
AF529169	-4.16719	0.6097561	3.0890079
Afap1	1.4766661	0.24691358	72.29658
Afap1l1	1.4442446	1.7777779	14.800867
Afap1l2	-0.5557554	1.9464722	82.600464
Aff1	3.3685172	0	74.218094
Aff2	0.984813	1.6666667	38.025276
Aff3	6.753824	7.491583	72.94719
Aff4	6.6956196	2.4772315	77.168945
Afg3l1	6.1089344	14.510489	81.39026
Afg3l2	7.9151807	0.5503145	80.130196
Afm	-4.16719	13.888889	70.350746
Afmid	4.227987	2.4275362	67.242195
Afp	-4.0151873	98.3871	81.36744
Aftph	7.0542626	1.010101	73.12424
Aga	3.9563568	9.722222	8.854366
Agap1	8.662092	0.57575756	86.594986
Agap2	-1.2078321	1.8181819	13.432188
Agap3	6.470642	0.61349696	79.82121
Agbl1	-4.16719	9.090909	53.126595
Agbl2	3.7985942	5.1282053	19.395645
Agbl3	5.57727	8.857142	29.014566
Agbl4	1.1140959	2.4769585	27.115993
Agbl5	6.6367617	0	69.38035
Ager	-1.2078321	47.045456	83.99167
Agfg1	6.860563	0.53763443	68.471085
Agfg2	3.6501489	0.48913044	85.1182
Aggf1	5.833436	1.2048193	78.09779
Agk	0.93900925	55.662807	92.88622
Agl	7.5297775	0.44642857	86.07627
Agmat	-4.16719	0	26.24179
Agmo	-4.16719	1.234568	28.322803
Agpat1	7.8643966	1.9125683	57.28455
Agpat2	3.8177028	19.644197	53.08499
Agpat3	6.7076206	0.9708738	79.25579
Agpat4	-2.015187	1.6558441	26.24373
Agpat5	6.2609377	2.896175	73.00448
Agpat6	6.5093546	1.1494254	49.71055
Agpat9	0.89170355	0.8064516	3.9960442
Agphd1	2.5394018	1.1737089	73.75455
Agps	5.7313275	0.6465517	73.3646
Agr2	-4.16719	0.4651163	4.3103447
Agr3	2.6141696	1.388889	77.20203
Agrn	8.38596	1.8089052	84.21561
Agrp	-1.2078321	98.55073	22.39712
Agt	-4.16719	21.43424	24.408577
Agtpbp1	7.3279986	6.5377536	71.661224
Agtr1a	-1.4302245	2.6041667	15.511317
Agtr1b	-4.16719	1.7959183	5.0873413
Agtr2	1.4442446	1.7857143	1.984127
Agtrap	5.404773	2.5324676	34.36002
Agxt	-4.16719	1.6666666	2.6710966
Agxt2	-4.16719	1.7391304	25.412987
Agxt2l1	-4.16719	100	97.15123
Agxt2l2	6.38889	3.625337	72.6668
Ahctf1	7.3668966	0.6198347	75.65934
Ahcy	4.827163	0.3787879	72.52564
Ahcyl1	7.833436	5.3092785	59.15964
Ahcyl2	7.1553636	0.65543073	82.38044
Ahdc1	6.0576158	0.1904762	66.1235
Ahi1	5.018236	0.5084746	11.517717
Ahnak	3.1243644	0.95785445	35.99719
Ahnak2	-0.43022457	4.027778	2.9821026
Ahr	5.93318	7.278546	69.15265
Ahrr	-2.4302247	1.4492754	13.549947
Ahsa1	6.439112	1.3157895	67.56158
Ahsa2	7.7865214	0.73839664	53.913044
Ahsg	-4.16719	1.1904763	45.44199
AI115009	-4.16719	0	1.7561809
AI118078	1.817703	0.19379845	80.44018
AI182371	-0.69325894	45.74074	53.086807
AI314180	9.044833	1.7037038	65.81194
AI314831	-0.5557554	0.35161746	3.2792356
AI314976	4.833436	0.83697236	65.78735
AI316807	5.3179684	0.65913373	68.7793
AI317395	-1.4302245	1.25	3.980234
AI413582	1.5995227	0.84745765	31.081873
AI427809	-4.16719	17.194616	5.641026
AI428936	-1.2078321	93.9693	72.507645
AI429214	3.164722	2.1818182	0.9887006
AI462493	2.867456	15.729167	16.419296
AI464131	0.508375	0.8064516	1.4827328
AI467606	3.0292072	1.0256411	24.95984
AI480526	4.476666	0.18214938	1.1111112
AI480653	7.1783385	0	82.967255
AI481877	6.003013	17.307692	78.61079
AI504432	-4.16719	0	4.953052
AI507597	-4.16719	2.777778	0.6451613
AI593442	0.07227574	0	0.82401025
AI597468	4.4846587	6.2146897	47.96173
AI597479	4.4026656	4.9479165	70.11544
AI606181	4.0071807	21.284723	74.8
AI607873	-4.0151873	9.353743	5.868946
AI646023	-4.16719	1.1524823	2.1072478
AI646519	-4.16719	1.0939511	0.51282054
AI661453	0.37713045	4.8170733	16.903885
AI662270	-4.16719	3.7037036	3.5822024
AI747448	-4.16719	25	11.8103695
AI836003	-2.4302247	1.545139	2.4288619
AI837181	5.809772	3.824131	42.486774
AI838599	-3.015187	52.25559	66.87605
AI846148	5.757952	0.4587156	67.66632
AI847159	-4.16719	3.0180182	3.5535867
AI848100	6.406878	0.2624672	75.71262
AI854517	4.6887164	1.6145834	6.7780104
AI854703	0.842794	30.324076	34.553356
AI987944	-0.20783208	3.7735848	55.94136
Aicda	-4.16719	4	3.231939
Aif1	-2.4302247	77.14286	94.93599
Aif1l	-0.84526205	0.35753575	2.1635644
Aifm1	6.8232293	8.035714	87.888885
Aifm2	4.3291087	3.666667	7.98183
Aifm3	6.456488	18.418081	11.773027
Aig1	3.6572382	1.0638298	21.296278
Aim1	3.5995228	0	73.33456
Aim1l	3.1243644	1.2077295	13.480758
Aim2	-2.015187	3.809524	4.3588314
Aimp1	5.1672072	11.804408	88.66765
Aimp2	6.25277	7.5700936	63.820496
Aip	4.6178083	19.11315	46.786144
Aipl1	-4.16719	1.3333335	2.471545
Aire	-4.0151873	37.845623	57.78962
Airn	0.68525267	100	57.433674
Ajap1	-4.16719	0.74850297	3.7577722
Ak1	-3.015187	7.0114946	2.7675781
AK129341	3.5921435	0.85714287	83.46348
AK157302	1.306741	4	5.072464
Ak2	5.9862213	2.9523811	68.632484
Ak3	3.1942666	0.3236246	39.34283
Ak4	6.6313715	0.40740743	57.82559
Ak5	-0.69325894	1.1235955	67.41471
Ak7	1.6286691	93.15973	86.88665
Ak8	0.44424465	74.284485	71.90735
Akap1	7.178954	2.644628	77.57855
Akap10	5.8613296	1.0416666	81.571465
Akap11	8.781867	1.2369792	80.32582
Akap12	7.501005	97.716896	90.85599
Akap13	7.209418	0.4065041	89.44126
Akap14	-3.015187	96.9697	96.39093
Akap17b	8.102132	0	62.792698
Akap2	0.15473793	1.9444445	18.508461
Akap3	2.9273274	0	4.7838345
Akap4	-1.4302245	100	97.130585
Akap5	0.23274046	90.20264	97.22728
Akap6	-4.0151873	64.50397	21.209576
Akap7	3.1942666	4.166667	81.85683
Akap8	6.7405353	0.9732361	65.837364
Akap8l	6.4380836	4.710145	73.75
Akap9	7.544668	0	86.57085
Akd1	3.4026654	0	89.44963
Akirin1	3.692172	0.625	44.860928
Akirin2	6.0589542	0.3703704	31.78392
Akna	3.3157299	7.1078434	80.533134
Aknad1	-4.16719	0	80.464966
Akp3	-4.16719	11.313131	8.601577
Akr1a4	7.0702853	0.96153843	59.808533
Akr1b10	1.2327404	2.7210886	8.160461
Akr1b3	5.9918404	0.8333334	78.84662
Akr1b7	-4.16719	0	6.0119047
Akr1b8	0.07227574	0	87.756165
Akr1c12	-4.16719	0	1.1904762
Akr1c13	-4.16719	16.049383	5.8419247
Akr1c14	-0.84526205	13.030304	45.53143
Akr1c18	-4.16719	1.9607844	1.6666667
Akr1c19	-4.0151873	90.27778	50.08503
Akr1c20	-4.16719	0	12.973369
Akr1c21	-4.16719	100	97.91667
Akr1c6	-4.16719	27.777779	30.17652
Akr1cl	1.9620928	0.8547009	44.166668
Akr1d1	-4.16719	88.76812	77.628204
Akr1e1	2.324663	0	35.784313
Akr7a5	6.3246627	12.5323	37.9653
Akt1	6.7110314	2.1052632	69.889336
Akt1s1	6.125643	24.358976	57.338684
Akt2	4.7792287	14.567669	87.82895
Akt3	7.4640884	1.0021098	87.14602
Aktip	6.914071	46.061672	77.01025
AL808133.1	-4.16719	11.73016	7.4468083
Alad	6.365274	10.16835	83.72396
Alas1	6.0292077	0.25641027	78.631775
Alas2	1.8674561	100	97.848724
Alb	-1.693259	1.3157895	6.1235957
Alcam	1.342365	4.878049	6.926157
Aldh16a1	5.3728304	25.877195	57.230595
Aldh18a1	2.1942663	1.40118	51.518223
Aldh1a1	3.6214375	15.476191	61.55691
Aldh1a2	4.0933375	1.1173184	33.44907
Aldh1a3	-1.4302245	0.2645503	3.099069
Aldh1a7	-0.31474733	14.444445	9.130338
Aldh1b1	3.6501489	1.0449736	2.1638656
Aldh1l1	0.508375	1.3227514	88.36022
Aldh1l2	3.692172	10.938969	82.843376
Aldh2	3.8113616	2.173913	76.38864
Aldh3a1	-2.4302247	12.058824	22.68501
Aldh3a2	4.91555	3.3898306	62.006626
Aldh3b1	-0.84526205	1.0730594	70.762436
Aldh3b2	-4.16719	0.95238096	0.36036038
Aldh4a1	1.2327404	1.0802469	77.67119
Aldh5a1	3.8427942	1.1695907	22.952093
Aldh6a1	5.379276	5.201613	42.047947
Aldh7a1	5.8520913	7.85865	59.24955
Aldh8a1	-3.015187	1.1904762	19.401564
Aldh9a1	7.408454	13.841808	77.02122
Aldoa	3.57727	99.081635	39.807434
Aldoart1	-4.16719	4.1666665	6.164021
Aldoart2	-0.43022457	2.0261438	3.4490743
Aldob	-0.69325894	81.59722	18.140244
Aldoc	0.07227574	90.829834	87.85
Alg1	7.5370016	1.9672132	63.044838
Alg10b	4.5161943	0	52.348488
Alg11	4.3555007	0.40229887	59.201183
Alg12	3.6358645	2.4630544	80.927826
Alg13	10.242937	0.59523815	73.09793
Alg14	0.508375	0.8045977	80.37921
Alg2	5.0933375	6.111111	63.770294
Alg3	5.5161943	1.3194445	75.666664
Alg5	4.6322713	0.5122951	70.859344
Alg6	4.51229	1.3483146	81.75302
Alg8	6.4846587	1.8707485	87.85239
Alg9	5.3489475	30.064104	84.09137
Alk	-4.16719	1.3227513	7.690325
Alkbh1	4.306741	11.915228	73.6986
Alkbh2	2.5995228	8.941798	52.831837
Alkbh3	4.6286693	0.86206895	87.395004
Alkbh4	3.664293	11.061583	68.24958
Alkbh5	8.818494	24.025972	27.270351
Alkbh6	2.6430244	3.2075472	73.88338
Alkbh7	2.476666	24.444447	6.877395
Alkbh8	2.508375	0	75.29778
Allc	-4.16719	4.3650794	8.856335
Alms1	7.3246627	0.9389672	82.29869
Alms1-ps2	-4.16719	100	86.307556
Alox12	-4.16719	98.24561	76.93519
Alox12b	-4.16719	5.4761906	2.4622536
Alox12e	-4.16719	0.2840909	1.6157163
Alox15	-1.015187	1.0822511	1.7712843
Alox5	2.2702153	6.8713455	8.105705
Alox5ap	-0.69325894	0	4.018542
Alox8	-4.16719	1.7857143	2.309237
Aloxe3	0.5697754	0	2.1593568
Alpi	-2.4302247	7.5	10.278361
Alpk1	-2.015187	4.5833335	5.863461
Alpk2	4.500513	2.631579	6.823724
Alpk3	2.154738	1.8018019	2.4795947
Alpl	1.9155504	0.21505377	31.914051
Alppl2	-3.015187	8.888889	31.473991
Als2	6.606865	0.7518797	88.12181
Als2cl	1.6852527	1.2962962	12.820775
Als2cr11	1.7397004	1.3333334	44.545456
Als2cr12	-4.16719	3.125	6.8243785
Als2cr4	3.9036763	28.455286	55.180862
Alx1	-4.0151873	1.2121212	16.747698
Alx3	-4.16719	0	1.5265486
Alx4	-3.015187	2.2875817	2.8103793
Amac1	-1.2078321	8.333333	4.4
Amacr	4.95348	0.952381	59.363983
Ambn	-4.16719	3.6231885	5.503473
Ambp	-4.16719	8.879553	16.208708
Ambra1	7.508375	0.30769232	84.66885
Amd1	3.867456	1.2376238	46.576748
Amd2	-4.0151873	21.666666	13.725491
Amdhd1	-4.16719	3.2965195	3.5645726
Amdhd2	4.3598523	5.833334	35.70625
Amd-ps3	-4.16719	5.487805	0
Amelx	-4.16719	0	4.108527
Amfr	6.757952	4.642857	60.692337
Amh	-0.015187042	89.47369	64.41617
